ts;trade_id;symbol;RangeA_ATR;BodyA_ATR;RangeB_ATR;BodyB_ATR;WickB_Ratio;SumOppBody5_ATR;RangeExpansion;TimeoutProgress;TouchNextBarFVG;is_extremum_forecast;rr_ext;has_open_fvg_in_range;DistanceToExt_ATR;SumOpp_from_Ext_ATR;SumOpp_from_Ext_N_ATR;SumOpp_from_Ext_over_Dist;fc_beyond_bar;fc_count_upto_bar;ATR_regime_ratio;Session_Asian;Session_London;Session_NY;is_London_open;is_NY_open;open_order_ticket;is_profitable;profit
2005.02.07 11:00:00;2;EURUSD.TDS;1.569322;0.113569;0.862094;0.717552;0.107784;1.987463;0.61829;0.0;1;1;1.09697;0;0.954066;1.207965;0.402655;0.002453;0;2;0.989015;0;1;0;1;0;;0;-999.9
2005.03.01 16:00:00;4;EURUSD.TDS;1.393963;0.768326;1.953744;1.750686;0.016854;2.255586;1.915523;0.333333;0;1;0.592486;0;1.018092;2.831831;0.404547;0.005068;1;2;0.905607;0;1;1;0;1;;1;597.7
2005.04.21 12:00:00;6;EURUSD.TDS;1.579285;0.904857;1.315134;1.107186;0.025641;2.293055;0.996593;1.0;1;1;0.53876;0;0.761942;2.135688;0.533922;0.004987;0;3;0.801205;0;1;0;1;0;;0;-1001.04
2005.07.28 12:00:00;8;EURUSD.TDS;1.396937;0.57593;1.433698;0.99256;0.07265;1.715536;1.092947;0.333333;0;1;0.739437;0;1.26072;1.997374;0.285339;0.002586;1;2;0.774872;0;1;0;1;0;;1;739.2
2005.08.16 12:00:00;10;EURUSD.TDS;1.171946;0.348416;2.286878;1.666063;0.130194;2.147511;2.083694;0.333333;1;1;0.292105;0;0.643212;1.735747;0.433937;0.00426;1;2;0.850662;0;1;0;1;0;;1;291.93
2005.09.09 16:00:00;12;EURUSD.TDS;0.683502;0.075421;2.111785;1.531987;0.245536;1.43771;2.254655;0.333333;1;1;0.478365;0;0.841946;2.102357;0.350393;0.005297;1;1;1.045138;0;1;1;0;1;;1;477.6
2005.09.14 11:00:00;14;EURUSD.TDS;1.370711;0.503766;2.067782;0.790795;0.203966;1.482008;1.692234;0.0;1;1;0.55516;0;0.854126;0.773222;0.257741;0.001545;1;1;0.823357;0;1;0;1;0;;1;555.36
2005.09.15 16:00:00;16;EURUSD.TDS;0.76373;0.588279;2.038334;1.290085;0.316456;1.8216;2.235427;0.333333;1;1;0.649194;0;0.76355;1.67711;0.419278;0.004256;0;1;0.949581;0;1;1;0;1;;1;648.83
2005.11.01 16:00:00;18;EURUSD.TDS;1.472695;0.238138;1.836168;1.504029;0.047782;2.343778;1.853844;0.666667;0;1;0.833333;0;1.578723;5.395703;0.415054;0.005454;1;2;0.831941;0;1;1;0;1;;0;-998.52
2005.11.03 11:00:00;20;EURUSD.TDS;1.108832;0.095726;0.949288;0.087749;0.184874;1.882621;0.701858;0.0;0;1;1.913793;0;1.801739;2.185755;0.312251;0.001521;1;3;0.633365;0;1;0;1;0;;0;-999.92
2005.11.11 12:00:00;22;EURUSD.TDS;0.50348;0.156999;1.245166;0.433101;0.565217;1.99768;1.089531;0.666667;1;1;2.571429;0;1.726816;2.766435;0.461072;0.002959;0;3;0.743685;0;1;0;1;0;;0;-999.6
