ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit
2005.09.09 16:00:00,3,EURUSD.TDS,0.683502,0.075421,2.111785,1.531987,0.245536,1.43771,2.254655,0.333333,1,1,0.478365,0,0.841946,2.102357,0.350393,0.005297,1,1,1.045138,0,1,1,0,1,3,1,1501.83
2007.05.04 11:00:00,6,EURUSD.TDS,1.308497,1.11634,2.891503,2.095425,0.053797,2.918954,2.508932,0.0,0,1,0.373737,0,0.891566,2.699346,0.899782,0.003309,0,2,0.874377,0,1,0,1,0,6,0,-999.19
2009.06.11 12:00:00,12,EURUSD.TDS,1.593081,0.748748,1.736459,1.306327,0.146789,2.666818,1.434777,0.333333,1,1,0.425,0,0.82658,1.832044,0.610681,0.006956,1,2,0.804042,0,1,0,1,0,12,0,-998.64
2009.09.17 17:00:00,15,EURUSD.TDS,1.340095,0.208558,2.498257,1.495404,0.062167,2.232013,2.501666,0.333333,1,1,0.486085,0,1.044419,2.232013,0.446403,0.004816,0,1,0.881155,0,0,1,0,1,15,0,-1058.09
2010.02.16 16:00:00,17,EURUSD.TDS,1.295388,0.641565,1.822534,1.352598,0.195067,1.695855,2.154069,0.333333,1,1,0.382353,0,0.533014,1.47519,0.737595,0.006773,1,1,0.961772,0,1,1,0,1,17,1,1497.3
2011.08.26 17:00:00,24,EURUSD.TDS,0.907231,0.305593,2.420873,1.790587,0.167653,2.411323,2.741281,0.333333,0,1,0.26096,0,0.536481,2.072306,0.690769,0.00809,1,1,0.917602,0,0,1,0,1,24,0,-999.46
2012.06.20 11:00:00,30,EURUSD.TDS,1.101272,0.850683,1.437588,1.338672,0.018349,2.103627,1.197144,0.0,1,1,0.420354,0,0.679959,1.846444,0.615481,0.004118,1,2,0.636599,0,1,0,1,0,30,0,-999.68
2012.07.03 11:00:00,32,EURUSD.TDS,1.413625,0.212895,2.452555,2.273723,0.052083,2.571776,1.953204,0.333333,0,1,0.333333,0,0.905003,4.751825,0.475182,0.006166,1,3,0.616813,0,1,0,1,0,32,1,1498.68
2012.08.22 12:00:00,34,EURUSD.TDS,1.626359,0.427989,2.054348,1.474185,0.185185,2.330163,1.574344,0.333333,0,1,0.435714,0,1.09347,5.059783,0.45998,0.004865,0,2,0.734337,0,1,0,1,0,34,0,-999.81
2012.11.26 11:00:00,36,EURUSD.TDS,2.436628,1.265009,2.080049,1.714979,0.044898,2.742268,1.641541,0.0,1,1,0.232416,0,0.609742,1.392359,0.69618,0.00269,1,1,0.749603,0,1,0,1,0,36,0,-988.53
2013.04.17 12:00:00,42,EURUSD.TDS,2.785467,1.404844,3.528258,2.430219,0.240275,2.422145,2.464054,1.0,1,1,0.33515,0,0.850791,3.61707,0.452134,0.005266,0,1,0.796214,0,1,0,1,0,42,0,-999.6
2013.12.06 12:00:00,46,EURUSD.TDS,1.685995,0.224799,2.422837,1.473684,0.304124,1.62355,1.282221,0.666667,0,1,0.458564,0,0.993162,3.3595,0.33595,0.002709,0,1,0.561431,0,1,0,1,0,46,1,1489.94
2014.01.16 12:00:00,49,EURUSD.TDS,1.711628,0.176744,2.046512,1.44186,0.240909,1.869767,1.617053,0.333333,1,1,0.210938,0,0.467244,1.302326,0.651163,0.002996,1,1,0.815882,0,1,0,1,0,49,0,-999.44
2014.04.04 17:00:00,52,EURUSD.TDS,4.778615,1.026731,3.396847,2.254969,0.064972,2.446881,3.843648,0.333333,1,1,0.33871,0,1.017888,1.026731,1.026731,0.001051,0,1,1.033843,0,0,1,0,1,52,1,1503.97
2014.04.09 11:00:00,54,EURUSD.TDS,2.27193,0.399123,2.824561,2.45614,0.070652,1.565789,1.817284,0.666667,0,1,0.305785,0,1.034965,3.530702,0.320973,0.002222,1,1,0.659229,0,1,0,1,0,54,1,1508.6
2014.07.01 11:00:00,56,EURUSD.TDS,1.480992,0.439669,2.892562,2.267769,0.152,2.383471,1.690331,0.666667,1,1,0.404412,0,1.125731,3.980165,0.398017,0.001528,0,3,0.57508,0,1,0,1,0,56,1,1513.4
2014.11.25 11:00:00,59,EURUSD.TDS,2.098361,0.437158,2.743169,1.562842,0.290837,2.032787,2.189272,0.666667,1,1,0.369668,0,0.778332,5.224044,0.522404,0.006141,1,1,0.574951,0,1,0,1,0,59,0,-999.92
2016.05.09 11:00:00,67,EURUSD.TDS,1.934673,1.329648,2.265327,1.625126,0.279503,3.953769,1.699657,0.333333,1,1,0.498113,0,0.875829,3.770854,0.942714,0.00612,1,1,0.92081,0,1,0,1,0,67,1,1497.02
2017.06.26 11:00:00,71,EURUSD.TDS,1.695502,0.096886,2.858131,1.453287,0.40113,3.051903,2.110912,0.666667,1,1,0.481707,0,1.102692,4.71511,0.589389,0.002648,1,1,0.797259,0,1,0,1,0,71,0,-1000.07
2017.10.24 12:00:00,73,EURUSD.TDS,1.929089,0.304593,1.218372,1.004029,0.175926,1.590653,1.003717,0.333333,1,1,0.265116,0,0.671717,1.522965,0.507655,0.00201,1,1,0.609528,0,1,0,1,0,73,1,1494.71
2018.08.13 11:00:00,75,EURUSD.TDS,1.216764,0.22123,1.476469,0.822398,0.221498,2.717279,1.417359,0.0,1,1,0.291925,0,0.427689,1.192717,0.596359,0.005799,0,1,1.496421,0,1,0,1,0,75,0,-999.32
2019.02.14 11:00:00,78,EURUSD.TDS,2.459316,0.926236,4.279848,2.821293,0.243781,3.68365,3.396705,0.333333,1,1,0.303977,0,0.908981,3.68365,0.73673,0.003806,0,1,1.17389,0,1,0,1,0,78,0,-999.12
2019.10.24 16:00:00,80,EURUSD.TDS,1.170608,0.875,3.949324,3.334459,0.131737,3.263514,4.246662,0.666667,0,1,0.44898,0,1.240268,3.0625,0.765625,0.002088,1,1,1.192572,0,1,1,0,1,80,0,-999.6
2019.11.08 12:00:00,82,EURUSD.TDS,1.875441,0.279671,2.237368,1.924794,0.036765,2.632197,1.602829,0.666667,0,1,0.134503,0,0.357381,4.26087,0.532609,0.007247,0,1,0.749871,0,1,0,1,0,82,1,1487.12
2020.02.06 11:00:00,84,EURUSD.TDS,1.744479,0.55205,4.394322,1.611987,0.080402,2.119874,3.19166,0.0,0,1,0.098361,0,0.318182,2.84858,0.356073,0.004054,1,1,0.719823,0,1,0,1,0,84,1,1512.5
2020.10.21 16:00:00,86,EURUSD.TDS,1.555556,0.681558,1.571592,0.962199,0.178571,2.87858,1.740675,0.333333,1,1,0.363208,0,0.574933,2.469645,0.823215,0.005357,0,1,1.138074,0,1,1,0,1,86,1,1491.26
2021.04.07 11:00:00,92,EURUSD.TDS,2.255626,0.478848,2.091809,1.121512,0.168675,1.80198,1.684424,0.333333,1,1,0.201342,0,0.351464,0.478848,0.478848,0.001081,0,1,0.80125,0,1,0,1,0,92,1,1486.23
2021.05.27 12:00:00,95,EURUSD.TDS,1.52623,0.860656,4.004918,2.708197,0.068768,2.398361,3.053368,0.333333,0,1,0.236025,0,0.716981,2.398361,0.479672,0.002915,1,1,0.887135,0,1,0,1,0,95,1,1514.73
2022.04.05 12:00:00,101,EURUSD.TDS,1.953226,0.643548,2.596774,1.580645,0.256522,2.370968,2.077687,1.0,1,1,0.354067,0,0.768546,3.996774,0.444086,0.004606,1,1,0.627829,0,1,0,1,0,101,1,1504.5
2022.06.03 17:00:00,104,EURUSD.TDS,2.733773,0.962596,2.887789,2.148515,0.208,3.134213,3.30251,0.333333,0,1,0.474328,0,1.25799,4.29703,0.477448,0.004436,1,2,1.010101,0,0,1,0,1,104,0,-1075.05
2022.12.16 11:00:00,3,EURUSD,2.146179,1.66113,2.345515,1.634551,0.13881,2.239203,1.350679,0.0,1,1,0.233553,0,0.463403,1.66113,1.66113,0.005395,1,1,0.749209,0,1,0,1,0,3,0,-1014.67
2023.04.17 12:00:00,5,EURUSD,1.379562,0.541606,2.994161,2.759124,0.027304,2.983942,1.915033,0.333333,0,1,0.088319,0,0.281088,2.789781,0.697445,0.009712,1,1,0.832825,0,1,0,1,0,5,1,1483.32
2023.09.19 11:00:00,8,EURUSD,1.079108,0.141988,2.868154,2.243408,0.039604,1.547667,2.140964,0.0,0,1,0.227979,0,0.571429,4.415822,0.441582,0.005442,1,3,0.643236,0,1,0,1,0,8,1,1472.73
2024.01.19 12:00:00,10,EURUSD,1.65617,0.250213,1.620426,0.679149,0.147059,1.441702,1.175454,0.333333,1,1,0.446667,0,0.768223,1.429787,0.357447,0.001562,1,3,0.713889,0,1,0,1,0,10,1,1468.68
2024.02.08 12:00:00,12,EURUSD,2.39173,0.426551,1.630033,0.868335,0.121495,1.767138,1.198208,0.333333,1,1,0.387755,0,0.821833,1.051143,0.525571,0.00084,1,1,0.643281,0,1,0,1,0,12,0,-1026.67
2024.12.12 17:00:00,18,EURUSD,2.656994,0.349391,3.940801,2.795125,0.024742,3.315148,4.186448,0.333333,0,1,0.232465,0,0.75711,3.112014,0.778003,0.005059,1,1,1.124444,0,0,1,0,1,18,0,-1009.74
2025.08.25 11:00:00,21,EURUSD,1.79164,1.269453,2.142765,1.530547,0.138655,2.466881,1.357285,0.0,1,1,0.170306,0,0.344045,2.223794,0.741265,0.007179,1,1,0.861264,0,1,0,1,0,21,1,1483.48
