ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit
2005.08.16 12:00:00,10,EURUSD.TDS,1.171946,0.348416,2.286878,1.666063,0.130194,2.147511,2.083694,0.333333,1,1,0.292105,0,0.643212,1.735747,0.433937,0.00426,1,2,0.850662,0,1,0,1,0,,1,291.93
2005.09.09 16:00:00,12,EURUSD.TDS,0.683502,0.075421,2.111785,1.531987,0.245536,1.43771,2.254655,0.333333,1,1,0.478365,0,0.841946,2.102357,0.350393,0.005297,1,1,1.045138,0,1,1,0,1,,1,477.6
2006.06.12 11:00:00,34,EURUSD.TDS,1.917241,0.365517,1.737931,1.282759,0.142857,1.958621,1.121995,0.0,1,1,0.302857,0,0.687674,2.062069,0.343678,0.004348,1,2,0.747484,0,1,0,1,0,,1,303.16
2007.05.04 11:00:00,54,EURUSD.TDS,1.308497,1.11634,2.891503,2.095425,0.053797,2.918954,2.508932,0.0,0,1,0.373737,0,0.891566,2.699346,0.899782,0.003309,0,2,0.874377,0,1,0,1,0,,0,-1000.89
2007.12.03 11:00:00,62,EURUSD.TDS,1.569736,0.727438,2.386509,2.190823,0.026738,2.284412,2.090553,0.333333,1,1,0.293578,0,0.772414,3.356427,0.419553,0.010215,0,2,0.931483,0,1,0,1,0,,1,293.76
2008.06.26 12:00:00,84,EURUSD.TDS,1.223487,0.057351,1.47838,1.156577,0.075431,1.567592,1.573148,0.666667,1,1,0.145221,0,0.323676,2.099681,0.299954,0.02036,0,3,0.974131,0,1,0,1,0,,1,145.36
2008.08.27 11:00:00,92,EURUSD.TDS,1.269682,0.442211,2.140704,1.303183,0.222222,1.943049,1.898678,0.0,1,1,0.450505,0,0.679878,1.735343,0.578448,0.007619,1,1,1.108228,0,1,0,1,0,,1,450.46
2008.11.10 11:00:00,94,EURUSD.TDS,0.874271,0.291424,2.02831,1.154038,0.097701,1.841799,1.794369,0.0,1,1,0.327044,0,0.556575,1.573689,0.524563,0.012128,1,1,0.764937,0,1,0,1,0,,1,327.6
2009.06.11 12:00:00,102,EURUSD.TDS,1.593081,0.748748,1.736459,1.306327,0.146789,2.666818,1.434777,0.333333,1,1,0.425,0,0.82658,1.832044,0.610681,0.006956,1,2,0.804042,0,1,0,1,0,,0,-1002.0
2009.07.07 12:00:00,106,EURUSD.TDS,1.496785,0.202572,2.025723,1.564309,0.018519,3.263666,1.894072,0.666667,1,1,0.367733,0,0.869629,3.263666,0.652733,0.010004,1,2,1.038183,0,1,0,1,0,,1,366.85
2009.09.17 17:00:00,112,EURUSD.TDS,1.340095,0.208558,2.498257,1.495404,0.062167,2.232013,2.501666,0.333333,1,1,0.486085,0,1.044419,2.232013,0.446403,0.004816,0,1,0.881155,0,0,1,0,1,,0,-1036.11
2010.02.16 16:00:00,130,EURUSD.TDS,1.295388,0.641565,1.822534,1.352598,0.195067,1.695855,2.154069,0.333333,1,1,0.382353,0,0.533014,1.47519,0.737595,0.006773,1,1,0.961772,0,1,1,0,1,,1,381.81
2010.08.12 12:00:00,144,EURUSD.TDS,1.335559,0.904841,2.474124,2.193656,0.095816,3.799666,2.072148,0.333333,0,1,0.373193,0,0.843803,3.953255,0.658876,0.014032,0,1,1.153584,0,1,0,1,0,,1,372.04
2011.02.01 12:00:00,162,EURUSD.TDS,2.246131,1.437524,2.658362,1.548509,0.212724,2.246131,2.060631,0.333333,1,1,0.282805,0,0.606586,1.437524,1.437524,0.004484,1,1,0.754294,0,1,0,1,0,,1,282.5
2011.03.14 12:00:00,166,EURUSD.TDS,1.399578,0.14333,1.563987,0.771454,0.312668,1.880157,1.555882,0.333333,1,1,0.397938,0,0.78638,2.491418,0.415236,0.007515,1,1,1.126938,0,1,0,1,0,,1,397.58
2011.05.11 12:00:00,172,EURUSD.TDS,1.534447,0.740431,1.690327,1.295755,0.216138,2.367432,1.379996,0.666667,1,1,0.299065,0,0.616231,2.299235,0.574809,0.007659,1,2,0.563845,0,1,0,1,0,,1,299.52
2011.06.28 11:00:00,176,EURUSD.TDS,1.169165,0.239829,3.437545,2.673091,0.06686,2.82798,2.589387,0.0,1,1,0.122671,0,0.334847,2.82798,0.565596,0.016903,1,1,0.747552,0,1,0,1,0,,1,122.45
2011.08.26 17:00:00,180,EURUSD.TDS,0.907231,0.305593,2.420873,1.790587,0.167653,2.411323,2.741281,0.333333,0,1,0.26096,0,0.536481,2.072306,0.690769,0.00809,1,1,0.917602,0,0,1,0,1,,0,-1001.11
2012.03.07 12:00:00,186,EURUSD.TDS,2.017893,0.43837,1.600398,0.981113,0.152174,2.22664,1.417565,0.333333,1,1,0.431818,0,0.65679,1.175944,0.391981,0.002573,1,2,0.750536,0,1,0,1,0,,1,432.25
2012.04.17 11:00:00,194,EURUSD.TDS,1.431227,0.481413,3.408922,2.927509,0.045802,1.184015,2.689938,0.333333,1,1,0.052336,0,0.188643,3.090149,0.309015,0.02518,1,1,0.753302,0,1,0,1,0,,1,52.36
2012.05.09 12:00:00,196,EURUSD.TDS,1.761633,0.757835,1.921178,1.442545,0.083045,1.934473,1.495472,0.333333,1,1,0.250951,0,0.424048,1.861349,0.465337,0.006603,1,1,0.854989,0,1,0,1,0,,1,250.8
2012.06.06 17:00:00,198,EURUSD.TDS,2.129248,1.973259,2.909192,2.534819,0.119303,2.7961,3.422803,0.333333,1,1,0.257687,0,0.597768,2.7961,0.55922,0.011995,1,1,1.232777,0,0,1,0,1,,1,256.96
2012.06.20 11:00:00,202,EURUSD.TDS,1.101272,0.850683,1.437588,1.338672,0.018349,2.103627,1.197144,0.0,1,1,0.420354,0,0.679959,1.846444,0.615481,0.004118,1,2,0.636599,0,1,0,1,0,,0,-998.92
2012.07.03 11:00:00,204,EURUSD.TDS,1.413625,0.212895,2.452555,2.273723,0.052083,2.571776,1.953204,0.333333,0,1,0.333333,0,0.905003,4.751825,0.475182,0.006166,1,3,0.616813,0,1,0,1,0,,1,333.5
2012.08.22 12:00:00,208,EURUSD.TDS,1.626359,0.427989,2.054348,1.474185,0.185185,2.330163,1.574344,0.333333,0,1,0.435714,0,1.09347,5.059783,0.45998,0.004865,0,2,0.734337,0,1,0,1,0,,0,-999.6
2012.11.26 11:00:00,214,EURUSD.TDS,2.436628,1.265009,2.080049,1.714979,0.044898,2.742268,1.641541,0.0,1,1,0.232416,0,0.609742,1.392359,0.69618,0.00269,1,1,0.749603,0,1,0,1,0,,0,-995.06
2012.12.12 11:00:00,216,EURUSD.TDS,1.563556,0.236591,1.429831,0.462895,0.352518,3.07568,1.225209,0.333333,0,1,0.48,0,0.625465,3.07568,0.615136,0.00478,1,3,0.61833,0,1,0,1,0,,1,480.0
2012.12.18 11:00:00,218,EURUSD.TDS,1.129482,0.543825,2.231076,0.822709,0.0,1.924303,1.550388,0.0,1,1,0.304878,0,0.652985,0.766932,0.383466,0.000842,1,1,0.502977,0,1,0,1,0,,1,305.0
2012.12.28 11:00:00,220,EURUSD.TDS,0.830731,0.209869,3.891318,3.480325,0.069663,2.509681,2.744372,0.666667,1,1,0.220751,0,0.758808,4.80075,0.685821,0.007235,1,1,1.052517,0,1,0,1,0,,1,221.0
2013.04.04 17:00:00,222,EURUSD.TDS,4.148319,1.799604,4.342123,3.257746,0.176408,3.700725,5.351152,0.666667,0,1,0.207216,0,0.727508,5.288069,0.406775,0.015752,1,1,2.125999,0,0,1,0,1,,1,207.03
2013.04.17 12:00:00,224,EURUSD.TDS,2.785467,1.404844,3.528258,2.430219,0.240275,2.422145,2.464054,1.0,1,1,0.33515,0,0.850791,3.61707,0.452134,0.005266,0,1,0.796214,0,1,0,1,0,,0,-998.24
2013.06.18 11:00:00,228,EURUSD.TDS,1.891892,1.127252,3.634009,3.121622,0.10846,2.412162,3.283476,0.333333,1,1,0.161826,0,0.501608,3.862613,0.482827,0.009769,1,1,0.905412,0,1,0,1,0,,1,161.46
2013.07.25 12:00:00,230,EURUSD.TDS,2.045267,0.998628,5.434842,4.004115,0.10424,2.36214,3.416843,0.666667,0,1,0.179134,0,0.680919,5.20439,0.473126,0.00796,1,1,0.86829,0,1,0,1,0,,1,179.27
2013.12.06 12:00:00,238,EURUSD.TDS,1.685995,0.224799,2.422837,1.473684,0.304124,1.62355,1.282221,0.666667,0,1,0.458564,0,0.993162,3.3595,0.33595,0.002709,0,1,0.561431,0,1,0,1,0,,1,458.16
2013.12.16 11:00:00,240,EURUSD.TDS,2.895877,0.518519,1.780573,0.469602,0.153846,5.331936,1.320276,0.0,1,1,0.238494,0,0.548077,0.518519,0.518519,0.000967,1,1,0.767839,0,1,0,1,0,,1,238.26
2014.01.16 12:00:00,242,EURUSD.TDS,1.711628,0.176744,2.046512,1.44186,0.240909,1.869767,1.617053,0.333333,1,1,0.210938,0,0.467244,1.302326,0.651163,0.002996,1,1,0.815882,0,1,0,1,0,,0,-1000.96
2014.01.31 12:00:00,244,EURUSD.TDS,2.056559,0.857816,2.342498,1.561665,0.305164,2.298507,1.838584,1.0,1,1,0.351485,0,0.696078,1.748625,0.874313,0.002284,1,1,0.720125,0,1,0,1,0,,1,351.45
2014.04.04 17:00:00,250,EURUSD.TDS,4.778615,1.026731,3.396847,2.254969,0.064972,2.446881,3.843648,0.333333,1,1,0.33871,0,1.017888,1.026731,1.026731,0.001051,0,1,1.033843,0,0,1,0,1,,1,338.94
2014.04.09 11:00:00,252,EURUSD.TDS,2.27193,0.399123,2.824561,2.45614,0.070652,1.565789,1.817284,0.666667,0,1,0.305785,0,1.034965,3.530702,0.320973,0.002222,1,1,0.659229,0,1,0,1,0,,1,305.62
2014.07.01 11:00:00,262,EURUSD.TDS,1.480992,0.439669,2.892562,2.267769,0.152,2.383471,1.690331,0.666667,1,1,0.404412,0,1.125731,3.980165,0.398017,0.001528,0,3,0.57508,0,1,0,1,0,,1,404.25
2014.09.24 12:00:00,266,EURUSD.TDS,1.985246,0.84918,1.778689,1.52623,0.141935,2.134426,1.363237,0.333333,0,1,0.375,0,0.709133,2.513115,0.359016,0.003088,1,2,0.648156,0,1,0,1,0,,1,374.88
2014.11.25 11:00:00,276,EURUSD.TDS,2.098361,0.437158,2.743169,1.562842,0.290837,2.032787,2.189272,0.666667,1,1,0.369668,0,0.778332,5.224044,0.522404,0.006141,1,1,0.574951,0,1,0,1,0,,0,-1000.14
2015.03.03 11:00:00,282,EURUSD.TDS,1.642288,0.831282,2.524258,1.723389,0.309237,3.598841,1.910975,0.333333,0,1,0.449393,0,1.055707,5.271542,0.753077,0.004926,1,2,0.642764,0,1,0,1,0,,1,449.55
2015.05.25 11:00:00,286,EURUSD.TDS,1.094714,0.909692,2.014684,1.572687,0.158163,1.464758,1.430657,0.0,1,1,0.266467,0,0.447557,2.759912,0.459985,0.011998,0,1,0.764739,0,1,0,1,0,,1,266.11
2015.05.29 11:00:00,288,EURUSD.TDS,2.178256,1.210142,1.973876,1.828659,0.0,2.377257,1.417536,0.0,0,1,0.308108,0,0.580364,2.73761,0.456268,0.00877,1,2,0.878914,0,1,0,1,0,,1,307.8
2015.08.03 11:00:00,296,EURUSD.TDS,1.758223,0.729603,1.680478,1.429304,0.078292,2.015378,0.979094,0.333333,1,1,0.18251,0,0.267409,3.576249,0.447031,0.022363,1,3,0.886679,0,1,0,1,0,,1,182.4
