ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit
2015.01.28 12:00:00,4,EURUSD.TDS,1.641236,0.474135,1.698549,1.396353,0.125767,3.07406,1.194796,1.0,1,1,1.651934,0,2.973011,6.955713,0.695571,0.00449,1,3,0.602802,0,1,0,1,0,,0,-999.12
2015.02.06 12:00:00,6,EURUSD.TDS,1.289266,0.063277,1.914124,0.506215,0.628099,2.483616,1.314146,0.333333,0,1,3.257353,0,3.607912,5.536723,0.69209,0.00194,1,2,0.515615,0,1,0,1,0,,0,-999.6
2015.03.03 11:00:00,8,EURUSD.TDS,1.642288,0.831282,2.524258,1.723389,0.309237,3.598841,1.910975,0.333333,0,1,0.449393,0,1.055707,5.271542,0.753077,0.004926,1,2,0.642764,0,1,0,1,0,,1,449.55
2015.04.17 11:00:00,12,EURUSD.TDS,2.143426,0.645418,2.243028,1.454183,0.321492,1.828685,1.908151,0.0,0,1,0.645963,0,1.265353,3.47012,0.433765,0.006883,1,1,0.883343,0,1,0,1,0,,1,645.84
2015.05.25 11:00:00,14,EURUSD.TDS,1.094714,0.909692,2.014684,1.572687,0.158163,1.464758,1.430657,0.0,1,1,0.266467,0,0.447557,2.759912,0.459985,0.011998,0,1,0.764739,0,1,0,1,0,,1,266.11
2015.05.29 11:00:00,16,EURUSD.TDS,2.178256,1.210142,1.973876,1.828659,0.0,2.377257,1.417536,0.0,0,1,0.308108,0,0.580364,2.73761,0.456268,0.00877,1,2,0.878914,0,1,0,1,0,,1,307.8
2015.06.08 12:00:00,18,EURUSD.TDS,2.110211,1.579254,2.355267,2.092058,0.105973,2.949757,1.466516,0.333333,1,1,0.626298,0,1.510581,3.657699,0.522528,0.005336,1,2,0.776511,0,1,0,1,0,,0,-999.94
2015.06.09 17:00:00,20,EURUSD.TDS,1.299953,0.437706,1.411848,0.8063,0.331002,2.142454,1.514296,0.666667,0,1,2.504,0,2.839309,3.705689,0.529384,0.003966,1,3,1.067157,0,0,1,0,1,,1,2458.94
2015.07.02 11:00:00,24,EURUSD.TDS,1.969058,0.210033,2.146273,1.063291,0.333333,2.664791,1.675634,0.333333,1,1,0.98556,0,1.701692,2.664791,0.532958,0.002386,1,1,0.555979,0,1,0,1,0,,0,-999.97
2015.08.03 11:00:00,26,EURUSD.TDS,1.758223,0.729603,1.680478,1.429304,0.078292,2.015378,0.979094,0.333333,1,1,0.18251,0,0.267409,3.576249,0.447031,0.022363,1,3,0.886679,0,1,0,1,0,,1,182.4
2015.08.05 11:00:00,28,EURUSD.TDS,1.511737,0.017926,1.440034,0.537772,0.489627,1.21895,1.399535,0.0,1,1,1.189394,0,1.063377,0.699104,0.174776,0.0011,0,2,0.751538,0,1,0,1,0,,1,1190.06
2015.08.19 17:00:00,32,EURUSD.TDS,3.63172,0.15681,1.166667,0.163082,0.086022,1.837814,1.289875,0.333333,1,1,1.643836,0,2.122999,0.15681,0.15681,0.000118,1,1,0.981726,0,0,1,0,1,,1,1645.2
2015.08.20 12:00:00,34,EURUSD.TDS,1.862006,0.788016,2.21153,1.258284,0.060345,2.1734,1.522976,0.333333,0,1,0.134986,0,0.316275,1.823877,0.455969,0.009074,1,1,0.858001,0,1,0,1,0,,1,134.75
2015.09.11 16:00:00,36,EURUSD.TDS,1.189465,0.279524,1.248938,0.838573,0.247619,2.170773,1.203783,0.333333,0,1,1.269388,0,1.842573,1.581988,0.527329,0.001444,1,1,0.899358,0,1,1,0,1,,1,1268.88
