ts,trade_id,symbol,RangeA_ATR,BodyA_ATR,RangeB_ATR,BodyB_ATR,WickB_Ratio,SumOppBody5_ATR,RangeExpansion,TimeoutProgress,TouchNextBarFVG,is_extremum_forecast,rr_ext,has_open_fvg_in_range,DistanceToExt_ATR,SumOpp_from_Ext_ATR,SumOpp_from_Ext_N_ATR,SumOpp_from_Ext_over_Dist,fc_beyond_bar,fc_count_upto_bar,ATR_regime_ratio,Session_Asian,Session_London,Session_NY,is_London_open,is_NY_open,open_order_ticket,is_profitable,profit,rr_ext_less_0_5
2015.03.03 11:00:00,8,EURUSD.TDS,1.642288,0.831282,2.524258,1.723389,0.309237,3.598841,1.910975,0.333333,0,1,0.449393,0,1.055707,5.271542,0.753077,0.004926,1,2,0.642764,0,1,0,1,0,,1,449.55,1
2015.05.25 11:00:00,14,EURUSD.TDS,1.094714,0.909692,2.014684,1.572687,0.158163,1.464758,1.430657,0.0,1,1,0.266467,0,0.447557,2.759912,0.459985,0.011998,0,1,0.764739,0,1,0,1,0,,1,266.11,1
2015.05.29 11:00:00,16,EURUSD.TDS,2.178256,1.210142,1.973876,1.828659,0.0,2.377257,1.417536,0.0,0,1,0.308108,0,0.580364,2.73761,0.456268,0.00877,1,2,0.878914,0,1,0,1,0,,1,307.8,1
2015.08.03 11:00:00,26,EURUSD.TDS,1.758223,0.729603,1.680478,1.429304,0.078292,2.015378,0.979094,0.333333,1,1,0.18251,0,0.267409,3.576249,0.447031,0.022363,1,3,0.886679,0,1,0,1,0,,1,182.4,1
2015.08.20 12:00:00,34,EURUSD.TDS,1.862006,0.788016,2.21153,1.258284,0.060345,2.1734,1.522976,0.333333,0,1,0.134986,0,0.316275,1.823877,0.455969,0.009074,1,1,0.858001,0,1,0,1,0,,1,134.75,1
2016.02.29 11:00:00,54,EURUSD.TDS,1.365302,0.965517,3.243534,2.700431,0.032558,2.911638,2.402235,0.333333,0,1,0.220624,0,0.59907,5.317888,0.531789,0.011768,0,3,0.890719,0,1,0,1,0,,1,220.8,1
2016.05.09 11:00:00,62,EURUSD.TDS,1.934673,1.329648,2.265327,1.625126,0.279503,3.953769,1.699657,0.333333,1,1,0.498113,0,0.875829,3.770854,0.942714,0.00612,1,1,0.92081,0,1,0,1,0,,1,497.64,1
2016.11.30 11:00:00,97,EURUSD.TDS,1.203909,0.793485,3.66645,3.018893,0.079602,2.608469,2.527507,0.333333,1,1,0.110811,0,0.3316,2.608469,0.521694,0.008625,1,1,0.696779,0,1,0,1,0,,1,110.7,1
2017.03.02 12:00:00,106,EURUSD.TDS,1.321101,0.247706,1.816514,1.504587,0.09596,2.302752,1.500568,0.333333,1,1,0.181818,0,0.342159,1.477064,0.738532,0.004705,1,1,0.731083,0,1,0,1,0,,1,181.8,1
2017.06.26 11:00:00,116,EURUSD.TDS,1.695502,0.096886,2.858131,1.453287,0.40113,3.051903,2.110912,0.666667,1,1,0.481707,0,1.102692,4.71511,0.589389,0.002648,1,1,0.797259,0,1,0,1,0,,0,-1000.4,1
2017.10.24 12:00:00,130,EURUSD.TDS,1.929089,0.304593,1.218372,1.004029,0.175926,1.590653,1.003717,0.333333,1,1,0.265116,0,0.671717,1.522965,0.507655,0.00201,1,1,0.609528,0,1,0,1,0,,1,265.05,1
2018.08.13 11:00:00,176,EURUSD.TDS,1.216764,0.22123,1.476469,0.822398,0.221498,2.717279,1.417359,0.0,1,1,0.291925,0,0.427689,1.192717,0.596359,0.005799,0,1,1.496421,0,1,0,1,0,,0,-1001.42,1
2018.12.05 17:00:00,188,EURUSD.TDS,0.749568,0.01612,2.933794,2.635579,0.016484,2.023028,3.413033,0.333333,0,1,0.162304,0,0.43662,2.949914,0.491652,0.008383,1,2,0.953345,0,0,1,0,1,,1,162.44,1
2019.02.14 11:00:00,190,EURUSD.TDS,2.459316,0.926236,4.279848,2.821293,0.243781,3.68365,3.396705,0.333333,1,1,0.303977,0,0.908981,3.68365,0.73673,0.003806,0,1,1.17389,0,1,0,1,0,,0,-999.68,1
2019.10.24 16:00:00,208,EURUSD.TDS,1.170608,0.875,3.949324,3.334459,0.131737,3.263514,4.246662,0.666667,0,1,0.44898,0,1.240268,3.0625,0.765625,0.002088,1,1,1.192572,0,1,1,0,1,,0,-999.6,1
2019.11.08 12:00:00,210,EURUSD.TDS,1.875441,0.279671,2.237368,1.924794,0.036765,2.632197,1.602829,0.666667,0,1,0.134503,0,0.357381,4.26087,0.532609,0.007247,0,1,0.749871,0,1,0,1,0,,1,134.55,1
2020.02.06 11:00:00,222,EURUSD.TDS,1.744479,0.55205,4.394322,1.611987,0.080402,2.119874,3.19166,0.0,0,1,0.098361,0,0.318182,2.84858,0.356073,0.004054,1,1,0.719823,0,1,0,1,0,,1,98.28,1
2020.10.21 16:00:00,252,EURUSD.TDS,1.555556,0.681558,1.571592,0.962199,0.178571,2.87858,1.740675,0.333333,1,1,0.363208,0,0.574933,2.469645,0.823215,0.005357,0,1,1.138074,0,1,1,0,1,,1,363.44,1
2020.10.22 12:00:00,254,EURUSD.TDS,2.991165,1.484337,2.159036,1.900402,0.119792,2.75502,1.747043,0.333333,1,1,0.271111,0,0.630724,2.215261,0.553815,0.003123,1,2,0.828079,0,1,0,1,0,,1,270.84,1
2020.11.10 12:00:00,260,EURUSD.TDS,1.721311,1.134791,2.562842,1.785064,0.154229,2.448087,1.837294,0.666667,0,1,0.307902,0,0.652371,4.870674,0.487067,0.011711,1,1,0.761958,0,1,0,1,0,,1,307.36,1
2020.12.21 12:00:00,266,EURUSD.TDS,2.608033,2.002078,2.215374,2.040859,0.07221,3.049169,2.54242,0.333333,1,1,0.142023,0,0.313401,2.002078,2.002078,0.013178,1,1,1.624716,0,1,0,1,0,,1,142.35,1
2021.01.21 11:00:00,272,EURUSD.TDS,1.99674,1.300733,2.578647,1.437653,0.238938,2.07661,1.71277,0.0,1,1,0.348837,0,0.606061,1.734311,0.867156,0.002508,1,1,0.819682,0,1,0,1,0,,1,348.6,1
2021.04.07 11:00:00,278,EURUSD.TDS,2.255626,0.478848,2.091809,1.121512,0.168675,1.80198,1.684424,0.333333,1,1,0.201342,0,0.351464,0.478848,0.478848,0.001081,0,1,0.80125,0,1,0,1,0,,1,201.3,1
2021.05.10 12:00:00,286,EURUSD.TDS,2.360746,1.238424,3.434692,2.215619,0.121127,3.405667,1.977716,0.333333,0,1,0.178363,0,0.504132,3.405667,0.681133,0.006982,0,1,0.982268,0,1,0,1,0,,1,178.12,1
2021.05.27 12:00:00,290,EURUSD.TDS,1.52623,0.860656,4.004918,2.708197,0.068768,2.398361,3.053368,0.333333,0,1,0.236025,0,0.716981,2.398361,0.479672,0.002915,1,1,0.887135,0,1,0,1,0,,1,242.01,1
2021.09.21 12:00:00,312,EURUSD.TDS,2.24674,0.645938,1.97994,1.039117,0.205674,1.97994,1.658824,0.333333,0,1,0.358491,0,0.736842,1.97994,0.395988,0.001914,1,2,0.856689,0,1,0,1,0,,1,358.53,1
2021.12.03 17:00:00,322,EURUSD.TDS,3.159261,0.943585,1.845232,1.195207,0.333333,2.823764,2.147214,0.333333,0,1,0.282178,0,0.726115,2.823764,0.564753,0.005564,1,1,1.024556,0,0,1,0,1,,1,282.72,1
2021.12.27 11:00:00,324,EURUSD.TDS,1.221594,1.160075,2.135593,1.546767,0.078189,1.801632,2.037736,0.0,0,1,0.40991,0,0.767932,3.383553,0.483365,0.005013,1,1,1.109899,0,1,0,1,0,,1,409.5,1
